id	miejsce	rola	writer_consumer	dotkniete	powod	test	etap
K01	tools/eta_ground_truth.py:48-85	KPI_BINDING_V1 + coverage gate	owner contract+consumer	TAK	proxy-complete n>=200 i coverage>=60%; klik fallback nie może promować KPI	binding snapshot + below-gate HOLD	E1/E4
S01	tools/ledger_io.py:49-55,330-370	kanoniczne ścieżki i loadery SLA/GPS/dwell	reader	TAK	trener nie może robić kolejnego ad-hoc joinu bez rotacji i normalizacji	fixture .1/.gz, last-wins, corrupt fail-loud	E1
S02	zewn. panel/backend/tools/restaurant_dwell_detector.py; tools/eta_ground_truth.py:361-387	writer arrived_at_restaurant/departed_restaurant (=last-inside)	writer	N-D	kontrakt już daje wymagane proxy; kod zewnętrznego repo tylko weryfikowany	schema/source/n_in/radius oracle	E0
S03	courier-api status_store.write_ground_truth; courier_ground_truth.py:1-61	writer app gps_arrived_at + repo reader	writer+reader	N-D	primary delivery observable i schema już istnieją; brak zgody na zmianę aplikacji	app_geofence precedence + reader schema fixture	E0
S04	tools/gps_delivery_validation_review.py:82-117,166-181	writer gps_delivery_truth	writer	N-D	secondary delivery observable już istnieje; stitch tylko czyta	confidence + courier_id + timestamp contract	E0
S05	tools/eta_ground_truth.py:340-418	kanoniczny filtr kuriera/source/confidence	writer+oracle	TAK	wydzielić publiczny czysty resolver, aby trener i oracle nie dryfowały	parytet byte-for-byte starego datasetu + mutation mismatch/low	E1
S06	tools/eta_ground_truth.py:789-897	kanoniczna para last_inside→arrival	consumer+oracle	TAK	wspólny resolver i inwariant kolejności; żadnego click-fill w oracle	complete-pair/missing-reasons parity	E1
S07	tests/test_eta_truth_map_contract.py:395-531	oracle resolvera GPS	test	TAK	rozszerzyć o publiczne API używane przez kalibrator	courier mismatch, low, precedence, as_of, invalid order	E1
S08	tools/decision_episode_v1.py:780-910	równoległy resolver last_inside/delivery_arrival	consumer+oracle	TAK	dziś duplikuje join i ma słabsze confidence/precedence; delegować do wspólnego resolvera albo jawnego adaptera	parity z eta_ground_truth na mismatch/low/app/server/as_of	E1
S09	tools/bundle_calib_review.py:181-245; tools/reassignment_quality_replay.py:18-50; tools/feas_carry_outcome_join.py	pozostali konsumenci gps_delivery_truth	consumer	N-D	schema/writer GPS nie zmieniają się; narzędzia nie konsumują target_policy ani pary pickup→arrival	regresja istniejących fixture źródła	E1
C01	tools/eta_calibration/config.yaml:1-80	paths, target policy, osobne artefakty	config	TAK	dodać źródła i enum click_v1/observable_proxy_v1; domyślnie click_v1	config snapshot + default safe	E1
C02	tools/eta_calibration/features.py:405-409	yaml loader; dziś brak deklarowanego env override	reader	TAK	zaimplementować jawny typed allowlist ETA_CALIB_*, bez dowolnego nested override	env unset parity, bool/enum/path, unknown key fail	E1
C03	tools/eta_calibration/systemd/dispatch-eta-calibration-tool.service:6-18; dispatch-eta-calibration-tool.timer	efektywny proces, env i harmonogram	consumer	TAK	unit/drop-in/EnvironmentFile musi rzeczywiście przekazać typed override; timer wyznacza pojedynczy job	systemctl cat + timer + /proc PID env/fingerprint przed deployem	E6
C04	/etc/systemd/system/dispatch-eta-calibration-tool.service	live unit/drop-ins	consumer	N-D	niewidoczne w sandboxie; sprawdzić dopiero przy wydaniu, bez zmiany w designie	systemctl cat/show + PID/NRestarts	E6
C05	common.py ETAP4_DECISION_FLAGS + flag registry	flaga decyzji/servingu	consumer	N-D	shadow tool config nie jest flagą silnika; ewentualny serving flip wymaga osobnego sprintu i owner ACK	3 checkery + ON!=OFF dopiero E6	E6
D01	tools/eta_calibration/features.py:45-56	FEATURE_PROVENANCE	writer/schema	TAK	dodać oba proxy timestampy, źródła, confidence i targety do outcome_only	contract test zabrania wejścia do served features	E2
D02	tools/eta_calibration/features.py:236-249	SQLite DDL 24 pól	writer/schema	TAK	CREATE IF NOT EXISTS nie migruje istniejącej tabeli	migration old24→new, idempotent, transaction, dry-run	E2
D03	tools/eta_calibration/features.py:264-340	load źródeł i indeksy po order+kurier	writer	TAK	dołączyć snapshoty oracle, fail-closed przy braku CID/source/confidence	reassignment/missing-side mutation probes	E2
D04	tools/eta_calibration/features.py:348-367	legacy click targety	writer	TAK	pozostawić bit-identyczne; obok pisać pickup proxy i pełny delivery proxy-pair	OFF exact parity; ON known timestamps	E2
D05	tools/eta_calibration/features.py:351	pace_deliv z click targetu	writer	TAK	pace musi pochodzić z tej samej polityki targetu; nie wolno zostawić click pace przy GPS fit	click/observable pace parity + train-only history	E2
D06	tools/eta_calibration/features.py:372-393	24-element tuple, ncol=24, positional INSERT	writer	TAK	zamienić na jawne kolumny + UPSERT; uniknąć przesunięcia schematu	column-order mutation + old DB migration	E2
D07	tools/eta_calibration/tests/test_replay.py:34-39	pozycyjny INSERT 24 pól	test writer	TAK	fixture pęknie lub, gorzej, utrwali stary kontrakt	explicit columns on old/new schema	E2
D08	tools/eta_calibration/targets.py (NOWY)	jedyny selektor target+pace+provenance	writer+consumer	TAK	usunąć rozproszone inline ternary; click_v1 fallback, proxy tylko complete-case	ON!=OFF, partial endpoint falls back, nonfinite fail	E2
D09	tools/eta_calibration/models.py:35-47	OUTCOME_ONLY_FIELDS	consumer contract	TAK	dodać wszystkie GPS timestampy/targety/source/confidence	served feature allowlist mutation	E2
M01	tools/eta_calibration/models.py:64-86	build_courier_history czyta slip i pace	consumer+derived writer	TAK	wywołać target/pace selector na train; polityka częścią historii	future rows mutation + policy difference	E3
M02	tools/eta_calibration/models.py:129-161	EmpiricalQuantileModel._target i fit	model target writer	TAK	L1 musi dostać tę samą politykę co L2/eval	L1 click parity + observable known answer	E3
M03	tools/eta_calibration/models.py:243-293	LGBMQuantileModel._target i fit	model target writer	TAK	zmiana targetu refituje wszystkie drzewa, nie tylko 19% wierszy	L2 deterministic full refit + target mutation kills parity	E3
M04	tools/eta_calibration/models.py:310-373	artifact round-trip	writer+consumer	TAK	zapisać target_policy, resolver schema/hash i policy-specific history	artifact schema round-trip/reject missing policy	E3
E01	tools/eta_calibration/evaluate.py:23-27	SQLite loader	reader	TAK	dla replay/pomiaru otwierać mode=ro; trening produkcyjny po buildzie też może czytać RO	DB bytes/stat unchanged	E3
