id,domain,original_severity,final_severity,final_status,confidence,evidence_level,reverified_current_snapshot,reverification_scope,reverification_note,known_before,title,source,audit_base_sha
SPRI-01,Świeży kod Sprint 1+2,P1,NONE,REFUTED,high,dual_review,True,head+effective-flag,"Ścieżka assign wywołuje inline redecide; bieżąca flaga jest ON, więc teza o luce do pięciu minut nie zachodzi.",NIE (nowe),"CAS przy zapisie planu na assign systematycznie odrzuca legalne zapisy dla zajętych kurierów — token mintowany w czasie decyzji jest stary o minuty, recovery dopiero tickiem ≤5 min",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
SPRI-02,Świeży kod Sprint 1+2,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),Mapa kompletności CAS Sprintu 1 pominęła czwarty produkcyjny writer: panelowy route.py woła save_plan BEZ expected_version przy żywej fladze PANEL_FLAG_COORDINATOR_PLAN_LIVE=1,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
SPRI-03,Świeży kod Sprint 1+2,P2,P3,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),touch_plan bumpuje plan_version bez zmiany treści planu — CAS oparty o samą wersję generuje false-conflicty (współprzyczyna częstości SPRI-01),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
SPRI-04,Świeży kod Sprint 1+2,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),"Firewall liczy pre-existing/carried przekroczenia jako VIOLATION decyzji (adnotacja exception_reason zamiast statusu EXEMPT) — telemetria fazy A zawyżona, ryzyko złej kalibracji enforcementu B-01/B-02",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
SPRI-05,Świeży kod Sprint 1+2,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,Sprint 2 wdrożony na produkcję bez pełnej kanonicznej regresji — tylko 198 testów celowanych; pełna suita odpalona jedynie w wadliwym worktree (9 fail od braku flags.json),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
SPRI-09,Świeży kod Sprint 1+2,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,Sekret administracyjny courier-api ujawniony w transkrypcie sesji Sprintu 2 — rotacja wciąż niewykonana (drop-in <redacted-credential-carrier> bez zmian od 05.07),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
SPRI-06,Świeży kod Sprint 1+2,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),FSM observer dodaje pełny odczyt+parse orders_state.json (~300KB) per event na gorącej ścieżce writera state_machine,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
SPRI-07,Świeży kod Sprint 1+2,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),events.db: 14 wiecznie-pending eventów (od 28.05) nieopisanych w raporcie — pułapka na przyszły auto-retry worker fazy B,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
SPRI-08,Świeży kod Sprint 1+2,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Macierz FSM klasyfikuje idempotentny re-emit COURIER_PICKED_UP (picked_up→picked_up, inny timestamp z geofence) jako illegal — żywy would_reject pierwszego dnia; enforcement fazy B odrzuciłby legalną korektę czasu",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
CORE-01,Rdzeń decyzyjny core/decide,P1,P2,PARTIAL,high,dual_review,True,head+existing-replay-verdict,"Snapshot jest niepełny, ale 22/23 soft diff współwystępuje z OSRM miss; bieżąca przyczyna nieudowodniona.",NIE (nowe),"world_record nie nagrywa kompletu wejść decyzji — replay nie odtwarza 1:1 (bramka nocna: 23/210 różnic + 24 missy OSRM, systematyczny pool_total −1)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
CORE-02,Rdzeń decyzyjny core/decide,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),effects_buffer: read-after-write na loadgov_alert_state + kontrfaktyk early-bird = podwójny alert Telegram (ON≠OFF wbrew deklarowanemu bajt-parytetowi),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
CORE-03,Rdzeń decyzyjny core/decide,P2,P2,CONFIRMED,medium,single_review,False,not-reverified,,NIE (nowe),"loadgov_ewma liczona w pamięci procesu — czasówka (świeży proces co minutę) decyduje na spot-load, shadow na wygładzonym: bliźniacze procesy dostają różne wejście decyzyjne",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
CORE-04,Rdzeń decyzyjny core/decide,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"world_record serializuje fleet_snapshot i order_event PO wykonaniu decyzji, nie przed — kontrakt 'nagrywam WEJŚCIA' trzyma się tylko dyscypliną, nie konstrukcją",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
CORE-05,Rdzeń decyzyjny core/decide,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,"Wewnątrz decide nadal żywe I/O i zapis stanu: prefetch K07 (HTTP panelu + emisja synth CZAS_KURIERA_UPDATED przez event_bus/state_machine), a kontrfaktyk early-bird podwaja pełny koszt decyzji dla każdej czasówki",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
CORE-06,Rdzeń decyzyjny core/decide,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),"effects_buffer: twarde ubicie procesu (OOM/SIGKILL) między decyzją a flush gubi zbuforowane efekty, które w legacy byłyby już na dysku; bufor nie ma persystencji ani logu strat",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
CORE-07,Rdzeń decyzyjny core/decide,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,tak,Ukryty kanał globalny route_simulator_v2._COMMITTED_PICKUP_TOL_MIN — impl komunikuje tolerancję N5 do symulatora przez mutowalny stan modułu zamiast parametr,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
CORE-08,Rdzeń decyzyjny core/decide,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),core/scorer.py: LgbmScorer i get_scorer połykają wyjątki bez logu (except: pass) — wbrew lekcji #32 'silent except w hot path musi logować',recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FEAS-01,Reguły biznesowe,P1,P1,CONFIRMED,high,dual_review,True,head+effective-flag,"Aktywna niespójność HARD/kanon; wartość raw jest predykcją, nie fizycznym outcome.",tak,R6 HARD 35 realnie rozluźnione dla gold≤4 — ENABLE_ETA_QUANTILE_R6_BAGCAP=ON wbrew werdyktowi D3 (przepuszczone 59.6 min),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FEAS-02,Reguły biznesowe,P1,P2,PARTIAL,high,dual_review,True,head+redacted-record-shape,"Unknown/sum proxy są wadliwe, ale live path jest jawnie feasibility=NO/ALERT; KOORD przeczy always-propose.",NIE (nowe),"Best_effort: 'bezpiecznik 40 min' fail-open (brak danych=bezpieczny, fallback raw bez capu, sum≠per-order) — wybrane i zaproponowane trasy z termiką nowego zlecenia >40 min",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
FEAS-03,Reguły biznesowe,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,"Eskalacja 3-strategiowa (Strategia 2 defer / Strategia 3 ALARM 40/±10) nie istnieje w kodzie — 40 to stały budżet, a ENABLE_ALWAYS_PROPOSE_ON_SATURATION działa bezwarunkowo mimo nazwy",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
